year	result	name	location
2016	Early spring[36]	Punxsutawney Phil	Punxsutawney, Pennsylvania
2016	Early spring[37]	Shubenacadie Sam	Shubenacadie, Nova Scotia
2016	Early spring[38]	Staten Island Chuck	Staten Island, New York City, New York
2016	Early spring[39]	Stormy Marmot	Aurora, Colorado
2016	Early spring[40]	T-Boy the Nutria	New Orleans, Louisiana
2016	6 more weeks of winter[41]	Wiarton Willie	Wiarton, Ontario
2016	Early spring[42]	Woodstock Willie	Woodstock, Illinois
2015	Early spring[43]	Balzac Billy	Balzac, Alberta
2015	Early spring[44]	Buckeye Chuck	Marion, Ohio
2015	6 more weeks of winter[45]	Chattanooga Chuck	Chattanooga, Tennessee
2015	Early spring[46]	Chesapeake Chuck	Newport News, Virginia
2015	6 more weeks of winter[47]	Chuckles	Manchester, Connecticut
2015	Early spring[48]	Cocalico Cal	Ephrata, Pennsylvania
2015	Early spring[49]	Dover Doug	Dover, Pennsylvania
2015	Early spring[50]	Dunkirk Dave	Dunkirk, New York
2015	6 more weeks of winter[51]	Fred la marmotte	Val d'Espoir, Quebec
2015	Early spring[52]	French Creek Freddie	French Creek, West Virginia
2015	Early spring[53]	General Beauregard Lee	Lilburn, Georgia
2015	6 more weeks of winter[54]	Grady the Groundhog	Chimney Rock, North Carolina
2015	6 more weeks of winter[55]	Holtsville Hal	Holtsville, New York
2015	Disputed[56]	Jimmy the Groundhog	Sun Prairie, Wisconsin
2015	Early spring[57]	Lawrenceville Lucy	Lawrenceville, Pennsylvania
2015	6 more weeks of winter[55]	Malverne Mel	Malverne, New York
2015	Early spring[58]	Manitoba Merv	Winnipeg, Manitoba
2015	6 more weeks of winter[48]	Mount Joy Minnie	Lancaster County, Pennsylvania
2015	Early spring[54]	Nibbles	Asheville, North Carolina
2015	Early spring[48]	Octorara Orphie	Quarryville, Pennsylvania
2015	6 more weeks of winter[59]	Oil Springs Ollie	Oil Springs, Ontario
2015	6 more weeks of spring[60]	Pierre C. Shadeaux	New Iberia, Louisiana
2015	6 more weeks of winter[49]	Poor Richard	York, Pennsylvania
2015	6 more weeks of winter[61]	Punxsutawney Phil	Punxsutawney, Pennsylvania
2015	6 more weeks of winter[62]	Queen Charlotte	Charlotte, North Carolina
2015	6 more weeks of winter[63]	Shubenacadie Sam	Shubenacadie, Nova Scotia
2015	Early spring[64]	Sir Walter Wally	Raleigh, North Carolina
2015	Early spring[65]	Staten Island Chuck
2015	Early spring[66]	Stormy Marmot	Aurora, Colorado
2015	Early spring[67]	Susquehanna Sherman	Mount Wolf, Pennsylvania
2015	Early spring[68]	T-Boy the Nutria	New Orleans, Louisiana
2015	6 more weeks of winter[69]	Uni	Myerstown, Pennsylvania
2015	6 more weeks of winter[70]	Western Maryland Murray	Cumberland, Maryland
2015	Early spring[63]	Wiarton Willie	Wiarton, Ontario
2015	Early spring[58]	Winnipeg Willow	Winnipeg, Manitoba
2015	6 more weeks of winter[71]	Woodstock Willie	Woodstock, Illinois
2015	6 more weeks of winter[72]	Woody
2014	Early spring[73]	Buckeye Chuck	Marion, Ohio
2014	6 more weeks of winter	Chesapeake Chuck	Newport News, Virginia
2014	6 more weeks of winter[74]	Dover Doug	Dover, Pennsylvania
2014	6 more weeks of winter	Dundas Donna	Toronto, Ontario
2014	Early spring[75]	Dunkirk Dave	Dunkirk, New York
2014	Early spring [76]	Fred la marmotte	Val d'Espoir, Quebec
2014	Early spring[77]	Holtsville Hal	Holtsville, New York
2014	Early spring[77]	Malverne Mel	Malverne, New York
2014	6 more weeks of spring[78]	Pierre C. Shadeaux	New Iberia, Louisiana
2014	6 more weeks of winter[74]	Poor Richard	York, Pennsylvania
2014	6 more weeks of winter[79]	Punxsutawney Phil	Punxsutawney, Pennsylvania
2014	6 more weeks of winter[80]	Staten Island Chuck
2014	6 more weeks of winter[81]	Stormy Marmot	Aurora, Colorado
2014	Early spring[82]	Susquehanna Sherman	Mount Wolf, Pennsylvania
2014	Early spring[83]	Winnipeg Willow	Winnipeg, Manitoba
2013	Early spring[84]	Buckeye Chuck	Marion, Ohio
2013	6 more weeks of winter	Chesapeake Chuck	Newport News, Virginia
2013	6 more weeks of winter[85]	Dover Doug	Dover, Pennsylvania
2013	Early spring[86]	Dunkirk Dave	Dunkirk, New York
2013	6 more weeks of winter[87]	Fred la marmotte	Val d'Espoir, Quebec
2013	Early spring[88]	Jimmy the Groundhog	Sun Prairie, Wisconsin
2013	6 more weeks of winter[89]	Flatiron Freddy	Boulder, Colorado
2013	6 more weeks of winter[90]	Malverne Mel	Malverne, New York
2013	6 more weeks of winter[87]	Manitoba Merv	Winnipeg, Manitoba
2013	Early spring[91]	Nibbles	Asheville, North Carolina
2013	6 more weeks of winter[92]	Octorara Orphie	Quarryville, Pennsylvania
2013	6 more weeks of spring[93]	Pierre C. Shadeaux	New Iberia, Louisiana
2013	6 more weeks of winter[94]	Pine Grove Grover	Pine Grove, Pennsylvania
2013	6 more weeks of winter[85]	Poor Richard	York, Pennsylvania
2013	Early spring[95]	Potomac Phil	Washington, D.C.
2013	Early spring[96]	Punxsutawney Phil	Punxsutawney, Pennsylvania
2013	Early spring[87]	Shubenacadie Sam	Shubenacadie, Nova Scotia
2013	Early spring[97]	Staten Island Chuck	Staten Island, New York City, New York
2013	6 more weeks of winter[89]	Stormy Marmot	Aurora, Colorado
2013	6 more weeks of winter[85]	Susquehanna Sherman	Mount Wolf, Pennsylvania
2013	Early spring[98]	T-Boy the Nutria	New Orleans, Louisiana
